blp-ar98;cgl;0;0;5891.2265802949;2.24
blp-ar98;cgl;1;242;5937.9127271412;39.76
blp-ar98;cgl;2;410;5948.9628804845;108.05
blp-ar98;cgl;3;555;5962.7189485809;203.61
blp-ar98;cgl;4;679;5979.5661737595;322.72
blp-ar98;cgl;5;779;5990.2003272386;457.50
blp-ar98;cgl;6;861;5992.5789532659;611.17
blp-ar98;cgl;7;934;5995.7616322545;777.87
blp-ar98;cgl;8;995;6001.6122823326;951.86
blp-ar98;cgl;9;1034;6002.3726543718;1134.79
blp-ar98;cgl;10;1074;6002.8880134937;1332.57
blp-ar98;cgl;11;1100;6003.5907538714;1532.81
blp-ar98;cgl;12;1120;6003.7383196923;1742.85
blp-ar98;cgl;13;1137;6003.9889056950;1959.19
blp-ar98;cgl;14;1150;6004.2520769464;2178.10
blp-ar98;cgl;15;1161;6004.2901956949;2386.66
blp-ar98;cgl;16;1170;6004.3282165703;2597.90
blp-ar98;cgl;17;1176;6004.3448879468;2767.05
blp-ar98;cgl;18;1181;6004.3526151023;2931.20
blp-ar98;cgl;19;1183;6004.3560062229;3091.06
blp-ar98;cgl;20;1184;6004.3591659752;3251.89
blp-ar98;cgl;21;1184;6004.3591659752;3415.30
