Stopped on time - objective value 669.00000000
     29 x(3,80)                               1                       3
    213 x(22,84)                              1                       3
    236 x(1,60)                               1                       9
    237 x(1,120)                              1                       9
    238 x(1,180)                              1                       9
    239 x(1,240)                              1                       9
    240 x(2,39)                               1                       9
    241 x(2,79)                               1                       9
    244 x(3,49)                               1                       9
    245 x(3,99)                               1                       9
    246 x(3,149)                              1                       9
    248 x(4,77)                               1                       9
    249 x(4,155)                              1                       9
    250 x(4,233)                              1                       9
    251 x(4,311)                              1                       9
    252 x(4,389)                              1                       9
    253 x(5,60)                               1                       9
    254 x(5,120)                              1                       9
    255 x(5,180)                              1                       9
    256 x(5,240)                              1                       9
    257 x(6,44)                               1                       9
    259 x(6,134)                              1                       9
    260 x(6,179)                              1                       9
    261 x(6,224)                              1                       9
    262 x(7,44)                               1                       9
    264 x(7,134)                              1                       9
    265 x(7,179)                              1                       9
    266 x(7,224)                              1                       9
    267 x(8,17)                               1                       9
    268 x(8,62)                               1                       9
    269 x(8,89)                               1                       9
    270 x(8,116)                              1                       9
    271 x(8,161)                              1                       9
    272 x(9,44)                               1                       9
    273 x(9,89)                               1                       9
    275 x(9,179)                              1                       9
    277 x(10,49)                              1                       9
    278 x(10,99)                              1                       9
    279 x(10,149)                             1                       9
    280 x(10,180)                             1                       9
    281 x(11,13)                              1                       9
    282 x(12,73)                              1                       9
    283 x(12,147)                             1                       9
    284 x(12,221)                             1                       9
    285 x(12,295)                             1                       9
    286 x(12,369)                             1                       9
    288 x(13,50)                              1                       9
    289 x(13,65)                              1                       9
    290 x(13,100)                             1                       9
    291 x(14,20)                              1                       9
    292 x(14,30)                              1                       9
    293 x(15,55)                              1                       9
    294 x(15,112)                             1                       9
    295 x(16,74)                              1                       9
    296 x(16,149)                             1                       9
    297 x(16,224)                             1                       9
    298 x(16,299)                             1                       9
    299 x(16,374)                             1                       9
    300 x(17,14)                              1                       9
    301 x(17,29)                              1                       9
    302 x(18,24)                              1                       9
    306 x(19,37)                              1                       9
    307 x(19,72)                              1                       9
    308 x(20,60)                              1                       9
    309 x(20,120)                             1                       9
    310 x(20,180)                             1                       9
    311 x(20,240)                             1                       9
    312 x(21,15)                              1                       9
    313 x(21,45)                              1                       9
    314 x(22,59)                              1                       9
    315 x(22,119)                             1                       9
    316 x(22,179)                             1                       9
    317 x(22,239)                             1                       9
    318 x(23,29)                              1                       9
    322 x(23,149)                             1                       9
    325 g(1,9)                                1                       0
    327 g(1,11)                               1                       0
    339 g(5,12)                               2                       0
    340 g(12,2)                               2                       0
    347 x(1,1)                                1                       0
    353 x(1,2)                                1                       0
    363 x(1,4)                                1                       0
    368 x(1,20)                               1                      -1
    388 x(1,50)                               1                       0
    403 x(1,54)                               1                       0
    407 x(1,88)                               1                       0
    440 x(1,92)                               1                       0
    445 x(1,108)                              1                       0
    459 x(1,114)                              1                       0
    465 x(1,122)                              1                       0
    472 x(1,130)                              1                       0
    486 x(1,137)                              1                       0
    488 x(1,159)                              1                       0
    513 x(1,176)                              1                       0
    515 x(1,174)                              1                       0
    521 x(1,182)                              1                       0
    527 x(1,192)                              1                       0
    535 x(1,202)                              1                       0
    559 x(1,224)                              1                      -1
    571 x(1,234)                              1                       0
    577 x(2,1)                                1                       0
    579 x(2,6)                                1                       0
    587 x(2,12)                               1                       0
    592 x(2,21)                               1                       0
    600 x(2,27)                               1                       0
    603 x(2,37)                               1                       0
    607 x(2,33)                               1                       0
    613 x(2,41)                               1                       0
    618 x(2,43)                               1                       0
    620 x(2,55)                               1                       0
    626 x(2,63)                               1                       0
    635 x(2,68)                               1                       0
    640 x(2,76)                               1                       0
    643 x(2,73)                               1                       0
    644 x(2,120)                              1                       0
    680 x(2,160)                              1                       0
    716 x(2,161)                              1                       0
    722 x(3,1)                                1                       0
    724 x(3,8)                                1                       0
    737 x(3,13)                               1                       0
    741 x(3,27)                               1                       0
    747 x(3,39)                               1                       0
    757 x(3,46)                               1                       0
    762 x(3,41)                               1                       0
    768 x(3,51)                               1                       0
    769 x(3,59)                               1                       0
    781 x(3,65)                               1                       0
    791 x(3,73)                               1                       0
    806 x(3,93)                               1                       0
    808 x(3,91)                               1                       0
    814 x(3,101)                              1                       0
    820 x(3,104)                              1                       0
    824 x(3,118)                              1                       0
    834 x(3,126)                              1                       0
    842 x(3,136)                              1                       0
    851 x(3,144)                              1                       0
    854 x(3,141)                              1                       0
    855 x(3,200)                              1                       0
    901 x(3,201)                              1                       0
    907 x(4,1)                                1                       0
    908 x(4,16)                               1                       0
    949 x(4,41)                               1                       0
    958 x(4,57)                               1                       0
    975 x(4,69)                               1                       0
    981 x(4,79)                               1                       0
    994 x(4,83)                               1                       0
    999 x(4,107)                              1                       0
   1028 x(4,143)                              1                       0
   1049 x(4,147)                              1                       0
   1055 x(4,157)                              1                       0
   1059 x(4,166)                              1                       0
   1099 x(4,193)                              1                       0
   1105 x(4,215)                              1                       0
   1123 x(4,225)                              1                       0
   1129 x(4,235)                              1                       0
   1131 x(4,248)                              1                       0
   1160 x(4,284)                              1                       0
   1192 x(4,308)                              1                       0
   1197 x(4,303)                              1                       0
   1203 x(4,313)                              1                       0
   1207 x(4,322)                              1                       0
   1240 x(4,350)                              1                       0
   1263 x(4,365)                              1                       0
   1272 x(5,1)                                1                       0
   1278 x(5,2)                                1                       0
   1281 x(5,9)                                1                       0
   1306 x(5,38)                               1                       0
   1315 x(5,46)                               1                       0
   1328 x(5,54)                               1                       0
   1334 x(5,62)                               1                       0
   1336 x(5,71)                               1                       0
   1362 x(5,98)                               1                       0
   1370 x(5,108)                              1                       0
   1384 x(5,114)                              1                       0
   1390 x(5,122)                              1                       0
   1392 x(5,131)                              1                       0
   1417 x(5,151)                              1                       0
   1435 x(5,179)                              1                       0
   1440 x(5,174)                              1                       0
   1446 x(5,182)                              1                       0
   1452 x(5,192)                              1                       0
   1462 x(5,198)                              1                       0
   1483 x(5,226)                              1                       0
   1496 x(5,234)                              1                       0
   1502 x(6,1)                                1                       0
   1506 x(6,5)                                1                       0
   1512 x(6,15)                               1                       0
   1521 x(6,22)                               1                       0
   1525 x(6,34)                               1                       0
   1533 x(6,41)                               1                       0
   1537 x(6,37)                               1                       0
   1538 x(6,90)                               1                       0
   1584 x(6,91)                               1                       0
   1590 x(6,93)                               1                       0
   1592 x(6,107)                              1                       0
   1604 x(6,111)                              1                       0
   1606 x(6,125)                              1                       0
   1615 x(6,131)                              1                       0
   1619 x(6,127)                              1                       0
   1625 x(6,136)                              1                       0
   1629 x(6,140)                              1                       0
   1634 x(6,151)                              1                       0
   1645 x(6,156)                              1                       0
   1646 x(6,155)                              1                       0
   1666 x(6,181)                              1                       0
   1670 x(6,185)                              1                       0
   1678 x(6,193)                              1                       0
   1685 x(6,202)                              1                       0
   1689 x(6,214)                              1                       0
   1695 x(6,223)                              1                       0
   1701 x(6,217)                              1                       0
   1705 x(7,19)                               1                       0
   1723 x(7,25)                               1                       0
   1732 x(7,32)                               1                       0
   1736 x(7,43)                               1                       0
   1742 x(7,37)                               1                       0
   1743 x(7,90)                               1                       0
   1789 x(7,91)                               1                       0
   1795 x(7,93)                               1                       0
   1799 x(7,105)                              1                       0
   1809 x(7,111)                              1                       0
   1814 x(7,122)                              1                       0
   1818 x(7,133)                              1                       0
   1824 x(7,127)                              1                       0
   1830 x(7,136)                              1                       0
   1833 x(7,141)                              1                       0
   1840 x(7,150)                              1                       0
   1845 x(7,161)                              1                       0
   1856 x(7,166)                              1                       0
   1864 x(7,173)                              1                       0
   1865 x(7,172)                              1                       0
   1871 x(7,181)                              1                       0
   1875 x(7,185)                              1                       0
   1883 x(7,193)                              1                       0
   1887 x(7,205)                              1                       0
   1894 x(7,214)                              1                       0
   1904 x(7,219)                              1                       0
   1906 x(7,217)                              1                       0
   1909 x(8,1)                                1                       0
   1910 x(8,8)                                1                       0
   1921 x(8,12)                               1                       0
   1923 x(8,10)                               1                       0
   1929 x(8,19)                               1                       0
   1934 x(8,22)                               1                       0
   1939 x(8,33)                               1                       0
   1949 x(8,39)                               1                       0
   1956 x(8,48)                               1                       0
   1960 x(8,59)                               1                       0
   1964 x(8,55)                               1                       0
   1968 x(8,64)                               1                       0
   1969 x(8,71)                               1                       0
   1980 x(8,76)                               1                       0
   1983 x(8,88)                               1                       0
   1989 x(8,82)                               1                       0
   1993 x(8,91)                               1                       0
   1995 x(8,97)                               1                       0
   2002 x(8,106)                              1                       0
   2011 x(8,112)                              1                       0
   2014 x(8,109)                              1                       0
   2020 x(8,118)                              1                       0
   2024 x(8,122)                              1                       0
   2031 x(8,131)                              1                       0
   2037 x(8,141)                              1                       0
   2047 x(8,147)                              1                       0
   2050 x(8,159)                              1                       0
   2055 x(8,154)                              1                       0
   2061 x(9,1)                                1                       0
   2064 x(9,6)                                1                       0
   2073 x(9,13)                               1                       0
   2078 x(9,24)                               1                       0
   2088 x(9,30)                               1                       0
   2091 x(9,42)                               1                       0
   2096 x(9,37)                               1                       0
   2102 x(9,46)                               1                       0
   2103 x(9,53)                               1                       0
   2113 x(9,59)                               1                       0
   2122 x(9,66)                               1                       0
   2125 x(9,79)                               1                       0
   2133 x(9,86)                               1                       0
   2137 x(9,82)                               1                       0
   2138 x(9,135)                              1                       0
   2184 x(9,136)                              1                       0
   2188 x(9,140)                              1                       0
   2195 x(9,149)                              1                       0
   2203 x(9,157)                              1                       0
   2206 x(9,170)                              1                       0
   2212 x(9,164)                              1                       0
   2220 x(9,225)                              1                       0
   2266 x(10,1)                               1                       0
   2271 x(10,5)                               1                       0
   2281 x(10,13)                              1                       0
   2284 x(10,28)                              1                       0
   2291 x(10,39)                              1                       0
   2302 x(10,45)                              1                       0
   2306 x(10,41)                              1                       0
   2312 x(10,51)                              1                       0
   2317 x(10,55)                              1                       0
   2327 x(10,63)                              1                       0
   2334 x(10,74)                              1                       0
   2341 x(10,85)                              1                       0
   2345 x(10,98)                              1                       0
   2352 x(10,91)                              1                       0
   2358 x(10,101)                             1                       0
   2361 x(10,107)                             1                       0
   2370 x(10,116)                             1                       0
   2381 x(10,123)                             1                       0
   2384 x(10,138)                             1                       0
   2393 x(10,146)                             1                       0
   2398 x(10,141)                             1                       0
   2402 x(10,152)                             1                       0
   2408 x(10,155)                             1                       0
   2411 x(10,170)                             1                       0
   2424 x(10,174)                             1                       0
   2426 x(10,172)                             1                       0
   2427 x(10,182)                             1                       0
   2428 x(11,1)                               1                       0
   2429 x(11,2)                               1                       0
   2433 x(11,3)                               1                       0
   2434 x(11,5)                               1                       0
   2436 x(11,9)                               1                       0
   2437 x(11,8)                               1                       0
   2440 x(11,15)                              1                       0
   2441 x(11,16)                              1                       0
   2447 x(12,1)                               1                       0
   2455 x(12,12)                              1                       0
   2467 x(12,20)                              1                       0
   2492 x(12,59)                              1                       0
   2511 x(12,65)                              1                       0
   2517 x(12,75)                              1                       0
   2518 x(12,89)                              1                       0
   2553 x(12,118)                             1                       0
   2562 x(12,133)                             1                       0
   2581 x(12,139)                             1                       0
   2587 x(12,149)                             1                       0
   2591 x(12,156)                             1                       0
   2623 x(12,192)                             1                       0
   2630 x(12,211)                             1                       0
   2651 x(12,213)                             1                       0
   2657 x(12,223)                             1                       0
   2662 x(12,228)                             1                       0
   2689 x(12,262)                             1                       0
   2715 x(12,293)                             1                       0
   2721 x(12,287)                             1                       0
   2727 x(12,297)                             1                       0
   2737 x(12,305)                             1                       0
   2747 x(12,316)                             1                       0
   2774 x(12,350)                             1                       0
   2791 x(12,361)                             1                       0
   2792 x(13,1)                               1                       0
   2793 x(13,36)                              1                       0
   2826 x(13,38)                              1                       0
   2829 x(13,41)                              1                       0
   2832 x(13,49)                              1                       0
   2836 x(13,45)                              1                       0
   2839 x(13,53)                              1                       0
   2842 x(13,56)                              1                       0
   2844 x(13,54)                              1                       0
   2855 x(13,67)                              1                       0
   2857 x(13,71)                              1                       0
   2864 x(13,76)                              1                       0
   2869 x(13,83)                              1                       0
   2872 x(13,92)                              1                       0
   2876 x(13,99)                              1                       0
   2880 x(13,95)                              1                       0
   2884 x(14,1)                               1                       0
   2887 x(14,4)                               1                       0
   2891 x(14,12)                              1                       0
   2898 x(14,16)                              1                       0
   2899 x(14,15)                              1                       0
   2900 x(14,22)                              1                       0
   2901 x(14,23)                              1                       0
   2903 x(14,24)                              1                       0
   2904 x(14,29)                              1                       0
   2908 x(14,25)                              1                       0
   2909 x(14,32)                              1                       0
   2910 x(15,1)                               1                       0
   2916 x(15,2)                               1                       0
   2918 x(15,10)                              1                       0
   2929 x(15,19)                              1                       0
   2940 x(15,28)                              1                       0
   2950 x(15,38)                              1                       0
   2957 x(15,50)                              1                       0
   2961 x(15,46)                              1                       0
   2962 x(15,57)                              1                       0
   2963 x(15,58)                              1                       0
   2969 x(15,59)                              1                       0
   2977 x(15,61)                              1                       0
   2979 x(15,79)                              1                       0
   2990 x(15,88)                              1                       0
   2996 x(15,82)                              1                       0
   3020 x(16,1)                               1                       0
   3030 x(16,5)                               1                       0
   3034 x(16,29)                              1                       0
   3055 x(16,36)                              1                       0
   3065 x(16,54)                              1                       0
   3077 x(16,69)                              1                       0
   3085 x(16,61)                              1                       0
   3091 x(16,76)                              1                       0
   3092 x(16,89)                              1                       0
   3116 x(16,93)                              1                       0
   3121 x(16,116)                             1                       0
   3132 x(16,133)                             1                       0
   3143 x(16,122)                             1                       0
   3162 x(16,151)                             1                       0
   3169 x(16,158)                             1                       0
   3186 x(16,169)                             1                       0
   3192 x(16,191)                             1                       0
   3209 x(16,202)                             1                       0
   3217 x(16,221)                             1                       0
   3227 x(16,211)                             1                       0
   3233 x(16,226)                             1                       0
   3238 x(16,235)                             1                       0
   3257 x(16,244)                             1                       0
   3271 x(16,258)                             1                       0
   3282 x(16,275)                             1                       0
   3294 x(16,290)                             1                       0
   3298 x(16,286)                             1                       0
   3304 x(16,301)                             1                       0
   3306 x(16,313)                             1                       0
   3324 x(16,323)                             1                       0
   3333 x(16,342)                             1                       0
   3349 x(16,354)                             1                       0
   3364 x(16,366)                             1                       0
   3369 x(16,361)                             1                       0
   3370 x(17,1)                               1                       0
   3374 x(17,2)                               1                       0
   3376 x(17,4)                               1                       0
   3377 x(17,3)                               1                       0
   3383 x(17,16)                              1                       0
   3387 x(17,17)                              1                       0
   3388 x(17,20)                              1                       0
   3393 x(17,23)                              1                       0
   3396 x(17,31)                              1                       0
   3399 x(18,16)                              1                       0
   3413 x(18,18)                              1                       0
   3415 x(18,23)                              1                       0
   3417 x(18,21)                              1                       0
   3418 x(18,50)                              1                       0
   3439 x(18,75)                              1                       0
   3460 x(18,100)                             1                       0
   3481 x(18,101)                             1                       0
   3482 x(19,1)                               1                       0
   3483 x(19,2)                               1                       0
   3484 x(19,3)                               1                       0
   3487 x(19,25)                              1                       0
   3508 x(19,28)                              1                       0
   3512 x(19,35)                              1                       0
   3515 x(19,32)                              1                       0
   3518 x(19,60)                              1                       0
   3540 x(19,62)                              1                       0
   3542 x(19,71)                              1                       0
   3546 x(19,67)                              1                       0
   3547 x(20,1)                               1                       0
   3551 x(20,26)                              1                       0
   3577 x(20,33)                              1                       0
   3585 x(20,47)                              1                       0
   3597 x(20,56)                              1                       0
   3603 x(20,50)                              1                       0
   3609 x(20,62)                              1                       0
   3612 x(20,70)                              1                       0
   3625 x(20,79)                              1                       0
   3630 x(20,96)                              1                       0
   3648 x(20,100)                             1                       0
   3650 x(20,119)                             1                       0
   3659 x(20,110)                             1                       0
   3665 x(20,122)                             1                       0
   3672 x(20,126)                             1                       0
   3681 x(20,139)                             1                       0
   3690 x(20,152)                             1                       0
   3704 x(20,160)                             1                       0
   3707 x(20,178)                             1                       0
   3715 x(20,170)                             1                       0
   3721 x(20,182)                             1                       0
   3729 x(20,185)                             1                       0
   3734 x(20,202)                             1                       0
   3748 x(20,210)                             1                       0
   3759 x(20,221)                             1                       0
   3766 x(20,235)                             1                       0
   3771 x(20,230)                             1                       0
   3772 x(21,1)                               1                       0
   3773 x(21,2)                               1                       0
   3774 x(21,3)                               1                       0
   3776 x(21,10)                              1                       0
   3783 x(21,13)                              1                       0
   3785 x(21,11)                              1                       0
   3791 x(21,17)                              1                       0
