gmu-35-50;cgl;0;0;-2608070.3157430082;0.20;0;0;0.00
gmu-35-50;cgl;1;1;-2608070.3156928956;36.97;0;0;36.67
gmu-35-50;cgl;2;2;-2608070.3156502992;51.36;0;0;50.91
gmu-35-50;cgl;3;3;-2608070.3156492608;141.01;0;0;140.44
gmu-35-50;cgl;4;4;-2608070.3156386302;156.92;0;0;156.23
gmu-35-50;cgl;5;5;-2608070.3155914410;191.27;0;0;190.43
gmu-35-50;cgl;6;6;-2608070.3155901455;198.89;0;0;197.92
gmu-35-50;cgl;7;7;-2608070.3155520987;203.18;0;0;202.10
gmu-35-50;cgl;8;8;-2608070.3155499096;208.17;0;0;206.99
gmu-35-50;cgl;9;9;-2608070.3155445140;217.44;0;0;216.16
gmu-35-50;cgl;10;10;-2608070.3155338042;243.10;0;0;241.69
gmu-35-50;cgl;11;11;-2608070.3155241935;253.62;0;0;252.09
gmu-35-50;cgl;12;12;-2608070.3155099987;257.59;0;0;255.94
gmu-35-50;cgl;13;13;-2608070.3155033370;275.48;0;0;273.69
gmu-35-50;cgl;14;14;-2608070.3154703965;279.20;0;0;277.27
gmu-35-50;cgl;15;15;-2608070.3154643681;295.97;0;0;293.82
gmu-35-50;cgl;16;16;-2608070.3154394072;308.32;0;0;306.02
gmu-35-50;cgl;17;17;-2608070.3154362077;316.62;0;0;314.16
gmu-35-50;cgl;18;18;-2608070.3154354985;330.55;0;0;327.85
gmu-35-50;cgl;19;19;-2608070.3154265024;340.32;0;0;337.48
gmu-35-50;cgl;20;20;-2608070.3154257438;344.39;0;0;341.38
gmu-35-50;cgl;21;21;-2608070.3154254085;354.52;0;0;351.34
gmu-35-50;cgl;22;22;-2608070.3154223915;382.07;0;0;378.72
gmu-35-50;cgl;23;23;-2608070.3154223198;389.86;0;0;386.35
gmu-35-50;cgl;24;24;-2608070.3154213270;399.65;0;0;395.95
gmu-35-50;cgl;25;24;-2608070.3154213270;547.61;0;0;395.95
