fhnw-binschedule0;cgl;0;0;12632.8887791449;2230.32;0;0;0.00
fhnw-binschedule0;cgl;1;5404;12632.8887791450;2702.38;0;0;41.81
fhnw-binschedule0;cgl;2;6706;12632.8887791450;2931.99;0;0;61.49
fhnw-binschedule0;cgl;3;7739;12632.8887791450;3154.83;0;0;78.74
fhnw-binschedule0;cgl;4;8786;12632.8887791450;3386.42;0;0;97.31
fhnw-binschedule0;cgl;5;9797;12632.8887791450;3675.31;0;0;115.29
fhnw-binschedule0;cgl;6;10822;12632.8887791450;3972.01;0;0;135.98
fhnw-binschedule0;cgl;7;11861;12632.8887791450;4335.91;0;0;161.67
fhnw-binschedule0;cgl;8;12903;12636.8140065393;4709.73;0;0;183.22
fhnw-binschedule0;cgl;9;14037;12636.8140065393;5121.17;0;0;212.34
fhnw-binschedule0;cgl-opt;10;15242;12636.8140065361;5510.97;0;0;238.61
