Stopped on time - objective value 563.00000000
      1 x(0,1)                                1                       0
     11 x(0,11)                               1                       0
     81 x(0,81)                               1                       0
    175 x(0,175)                              1                       0
    197 x(0,197)                              1                       0
    349 x(0,349)                              1                       0
    423 x(0,423)                              1                       0
    556 x(0,556)                              1                       0
    586 x(1,23)                               1                       0
    635 x(1,72)                               1                       0
    653 x(1,90)                               1                       0
    668 x(1,105)                              1                       0
    673 x(1,110)                              1                       0
    689 x(1,126)                              1                       0
    694 x(1,131)                              1                       0
    751 x(1,188)                              1                       0
    762 x(1,199)                              1                       0
    785 x(1,222)                              1                       0
    805 x(1,242)                              1                       0
    833 x(1,270)                              1                       0
    857 x(1,294)                              1                       0
    879 x(1,316)                              1                       0
    883 x(1,320)                              1                       0
    901 x(1,338)                              1                       0
    910 x(1,347)                              1                       0
    933 x(1,370)                              1                       0
    951 x(1,388)                              1                       0
    990 x(1,427)                              1                       0
   1000 x(1,437)                              1                       0
   1032 x(1,469)                              1                       0
   1038 x(1,475)                              1                       0
   1076 x(1,513)                              1                       0
   1103 x(1,540)                              1                       0
   1167 x(2,41)                               1                       0
   1213 x(2,87)                               1                       0
   1302 x(2,176)                              1                       0
   1363 x(2,237)                              1                       0
   1399 x(2,273)                              1                       0
   1481 x(2,355)                              1                       0
   1609 x(2,483)                              1                       0
   1677 x(2,551)                              1                       0
   1692 x(3,3)                                1                       0
   1696 x(3,7)                                1                       0
   1850 x(3,161)                              1                       0
   1942 x(3,253)                              1                       0
   2033 x(3,344)                              1                       0
   2042 x(3,353)                              1                       0
   2104 x(3,415)                              1                       0
   2217 x(3,528)                              1                       0
   2261 x(4,9)                                1                       0
   2298 x(4,46)                               1                       0
   2306 x(4,54)                               1                       0
   2398 x(4,146)                              1                       0
   2429 x(4,177)                              1                       0
   2518 x(4,266)                              1                       0
   2628 x(4,376)                              1                       0
   2773 x(4,521)                              1                       0
   2818 x(5,3)                                1                       0
   2822 x(5,7)                                1                       0
   2874 x(5,59)                               1                       0
   2961 x(5,146)                              1                       0
   2985 x(5,170)                              1                       0
   3018 x(5,203)                              1                       0
   3027 x(5,212)                              1                       0
   3095 x(5,280)                              1                       0
   3102 x(5,287)                              1                       0
   3224 x(5,409)                              1                       0
   3232 x(5,417)                              1                       0
   3317 x(5,502)                              1                       0
   3336 x(5,521)                              1                       0
   3354 x(5,539)                              1                       0
   3362 x(5,547)                              1                       0
   3387 x(6,9)                                1                       0
   3391 x(6,13)                               1                       0
   3424 x(6,46)                               1                       0
   3451 x(6,73)                               1                       0
   3515 x(6,137)                              1                       0
   3561 x(6,183)                              1                       0
   3571 x(6,193)                              1                       0
   3601 x(6,223)                              1                       0
   3608 x(6,230)                              1                       0
   3686 x(6,308)                              1                       0
   3736 x(6,358)                              1                       0
   3745 x(6,367)                              1                       0
   3756 x(6,378)                              1                       0
   3771 x(6,393)                              1                       0
   3789 x(6,411)                              1                       0
   3828 x(6,450)                              1                       0
   3835 x(6,457)                              1                       0
   3940 x(6,562)                              1                     563
   3969 x(7,28)                               1                       0
   3978 x(7,37)                               1                       0
   3985 x(7,44)                               1                       0
   3993 x(7,52)                               1                       0
   4005 x(7,64)                               1                       0
   4010 x(7,69)                               1                       0
   4027 x(7,86)                               1                       0
   4035 x(7,94)                               1                       0
   4041 x(7,100)                              1                       0
   4058 x(7,117)                              1                       0
   4076 x(7,135)                              1                       0
   4086 x(7,145)                              1                       0
   4092 x(7,151)                              1                       0
   4096 x(7,155)                              1                       0
   4101 x(7,160)                              1                       0
   4108 x(7,167)                              1                       0
   4122 x(7,181)                              1                       0
   4131 x(7,190)                              1                       0
   4145 x(7,204)                              1                       0
   4152 x(7,211)                              1                       0
   4166 x(7,225)                              1                       0
   4174 x(7,233)                              1                       0
   4190 x(7,249)                              1                       0
   4204 x(7,263)                              1                       0
   4209 x(7,268)                              1                       0
   4215 x(7,274)                              1                       0
   4220 x(7,279)                              1                       0
   4238 x(7,297)                              1                       0
   4242 x(7,301)                              1                       0
   4251 x(7,310)                              1                       0
   4274 x(7,333)                              1                       0
   4295 x(7,354)                              1                       0
   4306 x(7,365)                              1                       0
   4337 x(7,396)                              1                       0
   4343 x(7,402)                              1                       0
   4355 x(7,414)                              1                       0
   4362 x(7,421)                              1                       0
   4375 x(7,434)                              1                       0
   4385 x(7,444)                              1                       0
   4395 x(7,454)                              1                       0
   4403 x(7,462)                              1                       0
   4408 x(7,467)                              1                       0
   4413 x(7,472)                              1                       0
   4418 x(7,477)                              1                       0
   4435 x(7,494)                              1                       0
   4445 x(7,504)                              1                       0
   4449 x(7,508)                              1                       0
   4463 x(7,522)                              1                       0
   4471 x(7,530)                              1                       0
   4477 x(7,536)                              1                       0
   4494 x(7,553)                              1                       0
   4499 x(7,558)                              1                       0
   4504 x(8,0)                                1                       0
   4508 x(8,4)                                1                       0
   4512 x(8,8)                                1                       0
   4516 x(8,12)                               1                       0
   4520 x(8,16)                               1                       0
   4524 x(8,20)                               1                       0
   4537 x(8,33)                               1                       0
   4543 x(8,39)                               1                       0
   4554 x(8,50)                               1                       0
   4560 x(8,56)                               1                       0
   4566 x(8,62)                               1                       0
   4570 x(8,66)                               1                       0
   4578 x(8,74)                               1                       0
   4582 x(8,78)                               1                       0
   4587 x(8,83)                               1                       0
   4596 x(8,92)                               1                       0
   4602 x(8,98)                               1                       0
   4606 x(8,102)                              1                       0
   4612 x(8,108)                              1                       0
   4619 x(8,115)                              1                       0
   4627 x(8,123)                              1                       0
   4637 x(8,133)                              1                       0
   4644 x(8,140)                              1                       0
   4652 x(8,148)                              1                       0
   4662 x(8,158)                              1                       0
   4667 x(8,163)                              1                       0
   4673 x(8,169)                              1                       0
   4678 x(8,174)                              1                       0
   4689 x(8,185)                              1                       0
   4700 x(8,196)                              1                       0
   4710 x(8,206)                              1                       0
   4717 x(8,213)                              1                       0
   4721 x(8,217)                              1                       0
   4735 x(8,231)                              1                       0
   4744 x(8,240)                              1                       0
   4749 x(8,245)                              1                       0
   4756 x(8,252)                              1                       0
   4760 x(8,256)                              1                       0
   4769 x(8,265)                              1                       0
   4780 x(8,276)                              1                       0
   4785 x(8,281)                              1                       0
   4795 x(8,291)                              1                       0
   4803 x(8,299)                              1                       0
   4807 x(8,303)                              1                       0
   4811 x(8,307)                              1                       0
   4822 x(8,318)                              1                       0
   4829 x(8,325)                              1                       0
   4833 x(8,329)                              1                       0
   4839 x(8,335)                              1                       0
   4845 x(8,341)                              1                       0
   4849 x(8,345)                              1                       0
   4865 x(8,361)                              1                       0
   4872 x(8,368)                              1                       0
   4878 x(8,374)                              1                       0
   4883 x(8,379)                              1                       0
   4887 x(8,383)                              1                       0
   4896 x(8,392)                              1                       0
   4902 x(8,398)                              1                       0
   4908 x(8,404)                              1                       0
   4914 x(8,410)                              1                       0
   4928 x(8,424)                              1                       0
   4950 x(8,446)                              1                       0
   4955 x(8,451)                              1                       0
   4960 x(8,456)                              1                       0
   4968 x(8,464)                              1                       0
   4989 x(8,485)                              1                       0
   4995 x(8,491)                              1                       0
   5000 x(8,496)                              1                       0
   5004 x(8,500)                              1                       0
   5010 x(8,506)                              1                       0
