Stopped on time (no integer solution - continuous used) - objective value 635.50000000
    345 x(1,59)                      0.34064801                       0
    346 x(1,119)                              1           4.6540549e-13
    347 x(1,179)                     0.65935199                       0
    348 x(1,239)                              1                       0
    349 x(1,299)                              1          -4.4764192e-13
    350 x(2,73)                               1                       0
    351 x(2,147)                              1           7.3718809e-13
    352 x(2,221)                              1          -3.3573144e-13
    353 x(2,295)                              1           3.6415315e-13
    354 x(2,369)                              1          -5.0270899e-13
    355 x(3,23)                             0.5                       0
    356 x(3,47)                      0.62403393                       0
    357 x(3,71)                             0.5                       0
    358 x(3,95)                            0.25                       0
    359 x(3,119)                     0.12596607                       0
    360 x(4,24)                             0.2                       0
    362 x(4,74)                            0.75                       0
    364 x(4,124)                           0.05                       0
    365 x(5,34)                      0.34064801                       0
    366 x(5,69)                      0.34064801                       0
    367 x(5,104)                     0.15935199                       0
    368 x(5,139)                     0.15935199                       0
    370 x(6,95)                      0.35125271                       0
    371 x(6,191)                     0.64874729                       0
    372 x(6,287)                              1          -3.0375702e-13
    373 x(6,383)                              1          -2.4513724e-13
    374 x(6,479)                              1          -5.6843419e-13
    375 x(7,41)                      0.72435591                       0
    377 x(7,125)                     0.55128819                       0
    378 x(7,167)                     0.12177953                       0
    379 x(7,209)                     0.60257637                       0
    380 x(8,95)                       0.7426104                       0
    381 x(8,191)                     0.91452703                       0
    382 x(8,287)                     0.55514517                       0
    383 x(8,383)                              1                       0
    384 x(8,479)                     0.78771739                       0
    385 x(9,41)                             0.5                       0
    386 x(9,83)                      0.36994201                       0
    387 x(9,125)                     0.63815078                       0
    388 x(9,167)                      0.2479768                       0
    389 x(9,209)                     0.24393041                       0
    390 x(10,59)                     0.31556868                       0
    391 x(10,119)                    0.49054901                       0
    392 x(10,179)                    0.60637168                       0
    393 x(10,239)                    0.28192239                       0
    394 x(10,299)                    0.30558824                       0
    395 x(11,77)                              1                       0
    396 x(11,155)                             1           1.9184654e-13
    397 x(11,233)                    0.71153827                       0
    398 x(11,311)                    0.28846173                       0
    400 x(12,77)                              1                       0
    401 x(12,155)                             1          -1.1812773e-12
    402 x(12,233)                             1          -7.1231909e-13
    403 x(12,311)                             1          -9.6100905e-13
    404 x(12,389)                             1          -1.7497115e-12
    405 x(13,59)                              1                       0
    406 x(13,119)                    0.82515299                       0
    407 x(13,179)                    0.42818949                       0
    408 x(13,239)                    0.74665751                       0
    409 x(13,299)                             1           -1.005418e-12
    410 x(14,68)                              1                       0
    411 x(14,137)                    0.59157844                       0
    412 x(14,206)                    0.40842156                       0
    413 x(14,275)                             1          -5.1691984e-13
    414 x(14,344)                             1           -1.687539e-13
    415 x(15,68)                              1                       0
    416 x(15,137)                    0.74108573                       0
    417 x(15,206)                    0.86359201                       0
    418 x(15,275)                    0.39532226                       0
    419 x(15,344)                             1                       0
    420 x(16,68)                              1                       0
    421 x(16,137)                    0.66459409                       0
    422 x(16,206)                             1                       0
    423 x(16,275)                             1           9.7699626e-14
    424 x(16,344)                    0.33540591                       0
    425 x(17,68)                     0.33779438                       0
    426 x(17,137)                    0.47230945                       0
    427 x(17,206)                    0.82376748                       0
    428 x(17,275)                    0.74042263                       0
    429 x(17,344)                    0.62570607                       0
    430 x(18,77)                     0.64070815                       0
    431 x(18,155)                             1                       0
    432 x(18,233)                     0.6470145                       0
    433 x(18,311)                    0.71227735                       0
    434 x(18,389)                             1           -3.907985e-13
    435 x(19,23)                            0.5                       0
    438 x(19,95)                     0.46859614                       0
    439 x(19,119)                   0.031403858                       0
    440 x(20,50)                     0.31519363                       0
    441 x(20,101)                    0.17041023                       0
    442 x(20,152)                    0.86172235                       0
    443 x(20,203)                    0.34752544                       0
    444 x(20,254)                    0.30514835                       0
    445 x(21,34)                     0.33221431                       0
    446 x(21,69)                     0.10939599                       0
    447 x(21,104)                    0.22281832                       0
    448 x(21,139)                    0.17684625                       0
    449 x(21,174)                    0.15872513                       0
    450 x(22,54)                      0.3878674                       0
    451 x(22,109)                    0.21674113                       0
    452 x(22,164)                    0.35672747                       0
    453 x(22,219)                    0.77225832                       0
    454 x(22,274)                    0.26640567                       0
    455 x(23,122)                             1                       0
    456 x(23,245)                             1                       0
    457 x(23,368)                             1          -1.5454305e-13
    458 x(23,491)                             1          -1.6342483e-13
    459 x(23,614)                             1          -8.1001872e-13
    462 g(1,6)                       0.42111158                       0
    463 g(1,7)                       0.46213946                       0
    464 g(1,8)                       0.11674897                       0
    466 g(2,5)                       0.18322932                       0
    467 g(2,9)                       0.99369801                       0
    468 g(2,10)                      0.40929696                       0
    469 g(2,11)                            0.25                       0
    470 g(2,12)                       0.1637757                       0
    472 g(6,1)                       0.45041757                       0
    473 g(6,5)                       0.20939612                       0
    474 g(6,6)                       0.32437365                       0
    475 g(6,7)                       0.50322488                       0
    476 g(6,8)                       0.27479122                       0
    479 g(6,11)                     0.037753706                       0
    482 g(7,3)                       0.22435591                       0
    485 g(8,2)                      0.064475913                       0
    487 g(8,4)                       0.26143656                       0
    488 g(8,8)                       0.49848637                       0
    489 g(8,9)                       0.21309667                       0
    490 g(8,10)                      0.19864875                       0
    491 g(8,11)                      0.40956567                       0
    492 g(8,12)                       0.1511836                       0
    493 g(9,5)                       0.12196521                       0
    494 g(9,6)                        0.1260116                       0
    497 g(10,2)                      0.13888235                       0
    498 g(10,3)                      0.15778434                       0
    500 g(10,5)                      0.70333331                       0
    501 g(11,6)                      0.32271563                       0
    502 g(11,7)                      0.28346307                       0
    503 g(11,8)                      0.49431483                       0
    506 g(11,11)                    0.060295616                       0
    507 g(11,12)                     0.21835432                       0
    509 g(12,2)                      0.19577522                       0
    515 g(13,8)                     0.054697993                       0
    516 g(13,9)                      0.13503852                       0
    517 g(13,10)                      0.4551645                       0
    518 g(13,11)                     0.54094945                       0
    519 g(13,12)                     0.81414954                       0
    541 g(17,10)                     0.33333333                       0
    553 g(20,10)                     0.21448346                       0
    554 g(20,11)                     0.25193345                       0
    555 g(20,12)                    0.056147661                       0
    556 g(23,1)                      0.22915772                       0
    557 g(23,2)                     0.095773006                       0
