22433;cgl;0;0;21240.5261707989;0.34
22433;cgl;1;16;21240.5261707989;0.69
22433;cgl;2;24;21240.5261707989;0.85
22433;cgl;3;35;21240.5261707989;1.01
22433;cgl;4;47;21240.5261707989;1.18
22433;cgl;5;59;21240.5261707989;1.37
22433;cgl;6;71;21240.5261707989;1.57
22433;cgl;7;83;21240.5261707989;1.79
22433;cgl;8;95;21240.5261707989;2.02
22433;cgl;9;107;21240.5261707989;2.27
22433;cgl;10;119;21240.5261707989;2.52
22433;cgl;11;131;21240.5261707989;2.80
22433;cgl;12;143;21240.5261707989;3.08
22433;cgl;13;155;21240.5261707989;3.38
22433;cgl;14;167;21240.5261707989;3.70
22433;cgl;15;179;21240.5261707989;4.03
22433;cgl;16;191;21240.5261707989;4.44
22433;cgl;17;203;21240.5261707989;4.81
22433;cgl;18;215;21240.5261707989;5.20
22433;cgl;19;227;21240.5261707989;5.61
22433;cgl;20;239;21240.5261707989;6.04
22433;cgl;21;251;21240.5261707989;6.48
22433;cgl;22;263;21240.5261707989;6.93
22433;cgl;23;275;21240.5261707989;7.43
22433;cgl;24;287;21240.5261707989;7.92
22433;cgl;25;299;21240.5261707989;8.42
22433;cgl;26;311;21240.5261707989;8.93
22433;cgl;27;323;21240.5261707989;9.46
22433;cgl;28;335;21240.5261707989;10.05
22433;cgl;29;347;21240.5261707989;10.61
22433;cgl;30;359;21240.5261707989;11.19
22433;cgl;31;371;21240.5261707989;11.78
22433;cgl;32;383;21240.5261707989;12.45
22433;cgl;33;395;21240.5261707989;13.34
22433;cgl;34;407;21240.5261707989;14.15
22433;cgl;35;419;21240.5261707989;14.80
22433;cgl;36;431;21240.5261707989;15.48
22433;cgl;37;443;21240.5261707989;16.28
22433;cgl;38;455;21240.5261707989;17.29
22433;cgl;39;467;21240.5261707989;18.33
22433;cgl;40;479;21240.5261707989;19.39
22433;cgl;41;491;21240.5261707989;20.47
22433;cgl;42;503;21240.5261707989;21.55
22433;cgl;43;515;21240.5261707989;22.63
22433;cgl;44;527;21240.5261707989;23.72
22433;cgl;45;539;21240.5261707989;24.84
22433;cgl;46;551;21240.5261707989;25.98
22433;cgl;47;563;21240.5261707989;27.14
22433;cgl;48;575;21240.5261707989;28.31
22433;cgl;49;587;21240.5261707989;29.51
22433;cgl;50;599;21240.5261707989;30.73
22433;cgl;51;599;21240.5261707989;30.73
